"region";"år";"statistikkvariabel";"06913: Befolkning og endringer, etter region, år og statistikkvariabel"
"K_3103 Moss";"1989";"Befolkning 1. januar";36797
"K_3103 Moss";"1989";"Levendefødte";444
"K_3103 Moss";"1989";"Døde";395
"K_3103 Moss";"1990";"Befolkning 1. januar";36648
"K_3103 Moss";"1990";"Levendefødte";483
"K_3103 Moss";"1990";"Døde";424
"K_3103 Moss";"1991";"Befolkning 1. januar";36786
"K_3103 Moss";"1991";"Levendefødte";449
"K_3103 Moss";"1991";"Døde";372
"K_3103 Moss";"1992";"Befolkning 1. januar";36902
"K_3103 Moss";"1992";"Levendefødte";457
"K_3103 Moss";"1992";"Døde";390
"K_3103 Moss";"1993";"Befolkning 1. januar";37155
"K_3103 Moss";"1993";"Levendefødte";502
"K_3103 Moss";"1993";"Døde";423
"K_3103 Moss";"1994";"Befolkning 1. januar";37260
"K_3103 Moss";"1994";"Levendefødte";435
"K_3103 Moss";"1994";"Døde";423
"K_3103 Moss";"1995";"Befolkning 1. januar";37542
"K_3103 Moss";"1995";"Levendefødte";495
"K_3103 Moss";"1995";"Døde";398
"K_3103 Moss";"1996";"Befolkning 1. januar";37851
"K_3103 Moss";"1996";"Levendefødte";498
"K_3103 Moss";"1996";"Døde";359
"K_3103 Moss";"1997";"Befolkning 1. januar";38132
"K_3103 Moss";"1997";"Levendefødte";496
"K_3103 Moss";"1997";"Døde";411
"K_3103 Moss";"1998";"Befolkning 1. januar";38747
"K_3103 Moss";"1998";"Levendefødte";489
"K_3103 Moss";"1998";"Døde";382
"K_3103 Moss";"1999";"Befolkning 1. januar";39352
"K_3103 Moss";"1999";"Levendefødte";497
"K_3103 Moss";"1999";"Døde";383
"K_3103 Moss";"2000";"Befolkning 1. januar";39921
"K_3103 Moss";"2000";"Levendefødte";485
"K_3103 Moss";"2000";"Døde";413
"K_3103 Moss";"2001";"Befolkning 1. januar";40608
"K_3103 Moss";"2001";"Levendefødte";473
"K_3103 Moss";"2001";"Døde";410
"K_3103 Moss";"2002";"Befolkning 1. januar";40877
"K_3103 Moss";"2002";"Levendefødte";496
"K_3103 Moss";"2002";"Døde";427
"K_3103 Moss";"2003";"Befolkning 1. januar";41309
"K_3103 Moss";"2003";"Levendefødte";460
"K_3103 Moss";"2003";"Døde";419
"K_3103 Moss";"2004";"Befolkning 1. januar";41485
"K_3103 Moss";"2004";"Levendefødte";465
"K_3103 Moss";"2004";"Døde";407
"K_3103 Moss";"2005";"Befolkning 1. januar";41752
